symbol,date,open,high,close,low,volume (10K shares)
AAPL.O,2024-11-11,224.2041,224.9016,223.4368,220.7165,"4,200.5602"
AAPL.O,2024-11-12,223.7557,224.7920,223.4368,222.5649,"4,039.8299"
AAPL.O,2024-11-13,223.2176,225.8483,224.3237,221.9720,"4,856.6217"
AAPL.O,2024-11-14,224.2240,228.0604,227.4127,224.2041,"4,492.3941"
AAPL.O,2024-11-15,225.5991,226.1173,224.2041,223.4767,"4,792.3696"
AAPL.O,2024-11-18,224.4532,228.9273,227.2134,224.3735,"4,468.6020"
AAPL.O,2024-11-19,226.1771,229.3458,227.4725,225.8582,"3,621.1774"
AAPL.O,2024-11-20,227.2533,229.1167,228.1899,225.0909,"3,516.9566"
AAPL.O,2024-11-21,228.0704,229.3409,227.7116,224.9119,"4,210.8327"
AAPL.O,2024-11-22,227.2533,229.9038,229.0569,227.2533,"3,816.8252"
AAPL.O,2024-11-25,230.6412,232.4199,232.0463,228.9273,"9,015.2832"
AAPL.O,2024-11-26,232.5046,234.7367,234.2285,232.5046,"4,598.6189"
AAPL.O,2024-11-27,233.6356,234.8563,234.0990,232.9830,"3,349.8439"
AAPL.O,2024-11-29,233.9744,236.9688,236.4905,233.1424,"2,848.1377"
AAPL.O,2024-12-02,236.4307,239.9382,238.7425,236.3211,"4,813.7103"
AAPL.O,2024-12-03,238.9617,241.9013,241.7917,238.0549,"3,886.1017"
AAPL.O,2024-12-04,242.0109,243.2465,242.1504,240.3966,"4,438.3935"
AAPL.O,2024-12-05,243.1269,243.6750,242.1803,241.2735,"4,003.3878"
AAPL.O,2024-12-06,242.0458,243.7647,241.9810,241.2237,"3,687.0619"
AAPL.O,2024-12-09,240.9746,246.3654,245.8772,240.8948,"4,464.9232"
AAPL.O,2024-12-10,246.0167,247.3320,246.8935,244.4721,"3,691.4806"
AAPL.O,2024-12-11,247.0829,249.9128,245.6181,245.3890,"4,520.5814"
AAPL.O,2024-12-12,246.0167,247.8601,247.0829,244.8109,"3,277.7532"
AAPL.O,2024-12-13,246.9384,248.4084,247.2523,245.3690,"3,315.5290"
AAPL.O,2024-12-16,247.1128,250.4908,250.1520,246.7740,"5,169.4753"
AAPL.O,2024-12-17,249.1954,252.9321,252.5833,248.8964,"5,135.6360"
AAPL.O,2024-12-18,251.2680,253.3805,247.1726,246.8637,"5,677.4101"
AAPL.O,2024-12-19,246.6245,251.1086,248.9064,246.2208,"6,088.2264"
AAPL.O,2024-12-20,247.1626,254.0980,253.5898,244.8209,"14,749.5270"
AAPL.O,2024-12-23,253.8688,254.7457,254.3670,252.5535,"4,085.8774"
AAPL.O,2024-12-24,254.5862,257.2966,257.2867,254.3869,"2,323.4705"
AAPL.O,2024-12-26,257.2767,259.1799,258.1038,256.7187,"2,726.2983"
AAPL.O,2024-12-27,256.9180,257.7849,254.6859,252.1648,"4,235.5321"
AAPL.O,2024-12-30,251.3378,252.6033,251.3079,249.8630,"3,555.7542"
AAPL.O,2024-12-31,251.5470,252.3841,249.5342,248.5477,"3,948.0718"
AAPL.O,2025-01-02,248.0494,248.2188,242.9874,240.9647,"5,574.0731"
AAPL.O,2025-01-03,242.4991,243.3162,242.4991,241.0343,"4,024.4114"
AAPL.O,2025-01-06,243.4458,246.4551,244.1333,242.3397,"4,504.5571"
AAPL.O,2025-01-07,242.1205,244.6814,241.3532,240.4963,"4,085.5960"
AAPL.O,2025-01-08,241.0642,242.8502,241.8415,239.2009,"3,762.8940"
AAPL.O,2025-01-10,239.1610,239.3105,236.0122,232.1758,"6,171.0856"
AAPL.O,2025-01-13,232.7039,233.8399,233.5708,228.9074,"4,963.0725"
AAPL.O,2025-01-14,233.9196,235.2848,232.4548,231.6497,"3,943.5294"
AAPL.O,2025-01-15,233.8050,238.1147,237.0286,233.6007,"3,983.1969"
AAPL.O,2025-01-16,236.5104,237.1681,227.4526,227.2234,"7,175.9052"
AAPL.O,2025-01-17,231.2939,231.4683,229.1665,227.6718,"6,848.8301"
AAPL.O,2025-01-21,223.2076,223.6261,221.8524,218.6040,"9,807.0429"
AAPL.O,2025-01-22,219.0125,223.3272,223.0382,219.0125,"6,412.6500"
AAPL.O,2025-01-23,223.9450,226.2269,222.8688,221.5136,"6,023.4760"
AAPL.O,2025-01-24,223.9849,224.8319,221.9919,220.6268,"5,469.7907"
AAPL.O,2025-01-27,223.2276,231.3288,229.0469,223.1877,"9,486.3418"
AAPL.O,2025-01-28,230.0334,239.3404,237.4172,229.9935,"7,570.7569"
AAPL.O,2025-01-29,233.2918,239.0065,238.5133,233.1822,"4,548.6100"
AAPL.O,2025-01-30,237.8208,239.9382,236.7496,236.3709,"5,565.8279"
AAPL.O,2025-01-31,246.3156,246.3156,235.1652,232.6142,"10,107.5128"
AAPL.O,2025-02-03,229.1764,231.0099,227.2034,224.9016,"7,306.3301"
AAPL.O,2025-02-04,226.4461,232.3053,231.9765,225.8483,"4,506.7301"
AAPL.O,2025-02-05,227.7216,231.8470,231.6477,227.4625,"3,966.4989"
AAPL.O,2025-02-06,230.4669,232.9730,232.3950,229.6099,"2,992.5349"
AAPL.O,2025-02-07,231.7772,233.1723,226.8248,226.4561,"3,970.7224"
AAPL.O,2025-02-10,229.0094,230.0220,227.0941,226.6452,"3,311.5645"
AAPL.O,2025-02-11,227.6428,234.6556,232.0520,227.5730,"5,371.8362"
AAPL.O,2025-02-12,230.6355,236.3814,236.2916,230.1167,"4,524.3292"
AAPL.O,2025-02-13,236.3315,241.7482,240.9402,234.9948,"5,361.4054"
AAPL.O,2025-02-14,240.6609,244.9504,244.0027,240.4016,"4,089.6227"
AAPL.O,2025-02-18,243.5538,244.5813,243.8731,241.2495,"4,882.2491"
AAPL.O,2025-02-19,244.0626,245.4093,244.2721,242.5667,"3,220.4215"
AAPL.O,2025-02-20,244.3419,246.1774,245.2297,243.6935,"3,231.6907"
AAPL.O,2025-02-21,245.3494,248.0828,244.9504,244.6212,"5,319.7431"
AAPL.O,2025-02-24,244.3269,248.2523,246.4966,243.8232,"5,132.6396"
AAPL.O,2025-02-25,247.3944,249.3896,246.4368,244.3120,"4,801.3272"
AAPL.O,2025-02-26,243.7334,244.3818,239.7731,238.5461,"4,443.3564"
AAPL.O,2025-02-27,238.8254,241.8680,236.7206,236.4812,"4,115.3639"
